,contractSymbol,error
0,MSFT210115C00050000,-5.967681534851637e-05
1,MSFT210115C00055000,-0.0002020390693947415
2,MSFT210115C00060000,-0.0007327720042078608
3,MSFT210115C00065000,-2.823281318494006e-05
4,MSFT210115C00070000,-0.0003559757206240265
5,MSFT210115C00075000,-0.0003315265665979695
6,MSFT210115C00080000,-0.0014295118399203762
7,MSFT210115C00085000,-0.0034950143132312394
8,MSFT210115C00090000,-0.008236935887526038
9,MSFT210115C00092500,-0.008459054174451619
10,MSFT210115C00095000,-0.013866055722345148
11,MSFT210115C00097500,-0.016762708678712507
12,MSFT210115C00100000,-0.052048673105154965
13,MSFT210115C00105000,-0.03871350513904793
14,MSFT210115C00110000,-0.05170124523933542
15,MSFT210115C00115000,-0.08114127532071691
16,MSFT210115C00120000,-0.11414016210110639
17,MSFT210115C00125000,-0.17194227386049307
18,MSFT210115C00130000,-0.21576910069081306
19,MSFT210115C00135000,-0.28492889624941664
20,MSFT210115C00140000,-0.3620920012874321
21,MSFT210115C00145000,-0.3957312261065392
22,MSFT210115C00150000,-0.475302116597246
23,MSFT210115C00155000,-0.5822782529647986
24,MSFT210115C00160000,-0.645126791375223
25,MSFT210115C00165000,-0.6589733961715506
26,MSFT210115C00170000,-0.7165398841360627
27,MSFT210115C00175000,-0.7816521815826838
28,MSFT210115C00180000,-0.8430007670264033
29,MSFT210115C00185000,-0.8940086853572041
30,MSFT210115C00190000,-0.907986295583121
31,MSFT210115C00195000,-0.9475096347018325
32,MSFT210115C00197500,-0.9450126740258931
33,MSFT210115C00200000,-0.9666955511475279
34,MSFT210115C00202500,-0.9749071148091093
35,MSFT210115C00205000,-1.027783778082556
36,MSFT210115C00207500,-0.9943707850114005
37,MSFT210115C00210000,-1.0683356546015557
38,MSFT210115C00212500,-1.0516535760128987
39,MSFT210115C00215000,-1.032449442978945
40,MSFT210115C00217500,-1.0097653226142587
41,MSFT210115C00220000,-1.002144560414525
42,MSFT210115C00222500,-1.0002230536799692
43,MSFT210115C00225000,-1.0000120440120877
44,MSFT210115C00227500,-1.0000003237631705
45,MSFT210115C00230000,-1.0000000109016836
46,MSFT210115C00232500,-1.0000000001687932
47,MSFT210115C00235000,-1.0000000000033336
48,MSFT210115C00237500,-1.0000000000003364
49,MSFT210115C00240000,-1.0000000000000007
50,MSFT210115C00242500,-1.0000000000000002
51,MSFT210115C00245000,-1.0
52,MSFT210115C00250000,-1.0
53,MSFT210115C00255000,-1.0
54,MSFT210115C00260000,-1.0
55,MSFT210115C00265000,-1.0
56,MSFT210115C00270000,-1.0
57,MSFT210115C00275000,-0.9999999999999983
58,MSFT210115C00280000,-1.0
59,MSFT210115C00285000,-1.0
60,MSFT210115C00290000,-1.0
61,MSFT210115C00295000,-1.0
62,MSFT210115C00300000,-1.0
63,MSFT210115C00305000,-1.0
64,MSFT210115C00310000,-1.0
65,MSFT210115C00315000,-1.0
66,MSFT210115C00320000,-1.0
67,MSFT210115C00325000,-1.0
68,MSFT210122C00177500,-0.5490316376869705
69,MSFT210122C00180000,-0.6526913029355351
70,MSFT210122C00182500,-0.7222216683167971
71,MSFT210122C00185000,-0.7041712181056301
72,MSFT210122C00187500,-0.6719246494397817
73,MSFT210122C00190000,-0.7529788146672776
74,MSFT210122C00192500,-0.8051951441814309
75,MSFT210122C00195000,-0.8085070844336241
76,MSFT210122C00197500,-0.8428278590984393
77,MSFT210122C00200000,-0.8980401255841814
78,MSFT210122C00202500,-0.9276552380000541
79,MSFT210122C00205000,-0.9634695946810262
80,MSFT210122C00207500,-0.9691053676839335
81,MSFT210122C00210000,-0.990505782398576
82,MSFT210122C00212500,-1.0051143582476334
83,MSFT210122C00215000,-1.0071179899378198
84,MSFT210122C00217500,-1.0056010262545143
85,MSFT210122C00220000,-1.0029840993576549
86,MSFT210122C00222500,-1.0010418214332015
87,MSFT210122C00225000,-1.0002391156327317
88,MSFT210122C00227500,-1.0000434534377733
89,MSFT210122C00230000,-1.0000078901340974
90,MSFT210122C00232500,-1.000000863896006
91,MSFT210122C00235000,-1.0000001026714607
92,MSFT210122C00237500,-1.0000000070313464
93,MSFT210122C00240000,-1.0000000001216487
94,MSFT210122C00242500,-0.9999999998741838
95,MSFT210122C00245000,-0.9999999999621552
96,MSFT210122C00247500,-0.9999999999536453
97,MSFT210122C00250000,-0.9999999999901676
98,MSFT210122C00252500,-0.9999999999911081
99,MSFT210122C00255000,-0.9999999999989768
100,MSFT210122C00257500,-0.999999999999102
101,MSFT210129C00177500,-0.4120816086069791
102,MSFT210129C00180000,-0.3882655889973228
103,MSFT210129C00182500,-0.4310432816963112
104,MSFT210129C00185000,-0.45230716078410826
105,MSFT210129C00187500,-0.5552811965424113
106,MSFT210129C00190000,-0.5529913602316344
107,MSFT210129C00192500,-0.6103701131225836
108,MSFT210129C00195000,-0.6047397276050572
109,MSFT210129C00197500,-0.6888402588777501
110,MSFT210129C00200000,-0.72343599565496
111,MSFT210129C00202500,-0.7690331830558116
112,MSFT210129C00205000,-0.7952813151618591
113,MSFT210129C00207500,-0.8422065559830643
114,MSFT210129C00210000,-0.87317165641822
115,MSFT210129C00212500,-0.9100810555480738
116,MSFT210129C00215000,-0.9350480216399907
117,MSFT210129C00217500,-0.9562476040598937
118,MSFT210129C00220000,-0.9729125761045717
119,MSFT210129C00222500,-0.9841582994073831
120,MSFT210129C00225000,-0.9913158489667784
121,MSFT210129C00227500,-0.9958617728088768
122,MSFT210129C00230000,-0.9981410207742728
123,MSFT210129C00232500,-0.9992395633234752
124,MSFT210129C00235000,-0.9997190496582512
125,MSFT210129C00237500,-0.9998890761690873
126,MSFT210129C00240000,-0.999965891828591
127,MSFT210129C00242500,-0.9999836338128639
128,MSFT210129C00245000,-0.9999956063517955
129,MSFT210129C00247500,-0.9999979687291928
130,MSFT210129C00250000,-0.9999994305009214
131,MSFT210129C00252500,-0.9999996949874598
132,MSFT210129C00255000,-0.9999999475469132
133,MSFT210129C00257500,-0.9999999511962822
134,MSFT210205C00180000,-0.19836116276559476
135,MSFT210205C00185000,-0.2617700750059957
136,MSFT210205C00187500,-0.25052444928434353
137,MSFT210205C00190000,-0.32079172094954894
138,MSFT210205C00195000,-0.3872594873521091
139,MSFT210205C00197500,-0.40803199649543626
140,MSFT210205C00200000,-0.4685215761993492
141,MSFT210205C00202500,-0.5927965602427893
142,MSFT210205C00205000,-0.6049962939087852
143,MSFT210205C00207500,-0.6455012149627377
144,MSFT210205C00210000,-0.6782270579697772
145,MSFT210205C00212500,-0.735523305265663
146,MSFT210205C00215000,-0.7842210340479443
147,MSFT210205C00217500,-0.8301979076598045
148,MSFT210205C00220000,-0.8748270572218807
149,MSFT210205C00222500,-0.9091810978047439
150,MSFT210205C00225000,-0.9379896446214685
151,MSFT210205C00227500,-0.9585918610963728
152,MSFT210205C00230000,-0.9743480644553792
153,MSFT210205C00232500,-0.9857247713400652
154,MSFT210205C00235000,-0.9917553183351445
155,MSFT210205C00237500,-0.9958272554483343
156,MSFT210205C00240000,-0.9979990000097919
157,MSFT210205C00242500,-0.9991369444476598
158,MSFT210205C00245000,-0.9994969763233837
159,MSFT210205C00247500,-0.9997667114738749
160,MSFT210205C00250000,-0.999900656936082
161,MSFT210205C00252500,-0.9999648843976984
162,MSFT210205C00255000,-0.9999787678743282
163,MSFT210205C00257500,-0.9999879606255767
