contractSymbol,error
MSFT210115C00050000,-5.967681534851637e-05
MSFT210115C00055000,-0.0002020390693947415
MSFT210115C00060000,-0.0007327720042078608
MSFT210115C00065000,-2.823281318494006e-05
MSFT210115C00070000,-0.0003559757206240265
MSFT210115C00075000,-0.0003315265665979695
MSFT210115C00080000,-0.0014295118399203762
MSFT210115C00085000,-0.0034950143132312394
MSFT210115C00090000,-0.008236935887526038
MSFT210115C00092500,-0.008459054174451619
MSFT210115C00095000,-0.013866055722345148
MSFT210115C00097500,-0.016762708678712507
MSFT210115C00100000,-0.052048673105154965
MSFT210115C00105000,-0.03871350513904793
MSFT210115C00110000,-0.05170124523933542
MSFT210115C00115000,-0.08114127532071691
MSFT210115C00120000,-0.11414016210110639
MSFT210115C00125000,-0.17194227386049307
MSFT210115C00130000,-0.21576910069081306
MSFT210115C00135000,-0.28492889624941664
MSFT210115C00140000,-0.3620920012874321
MSFT210115C00145000,-0.3957312261065392
MSFT210115C00150000,-0.475302116597246
MSFT210115C00155000,-0.5822782529647986
MSFT210115C00160000,-0.645126791375223
MSFT210115C00165000,-0.6589733961715506
MSFT210115C00170000,-0.7165398841360627
MSFT210115C00175000,-0.7816521815826838
MSFT210115C00180000,-0.8430007670264033
MSFT210115C00185000,-0.8940086853572041
MSFT210115C00190000,-0.907986295583121
MSFT210115C00195000,-0.9475096347018325
MSFT210115C00197500,-0.9450126740258931
MSFT210115C00200000,-0.9666955511475279
MSFT210115C00202500,-0.9749071148091093
MSFT210115C00205000,-1.027783778082556
MSFT210115C00207500,-0.9943707850114005
MSFT210115C00210000,-1.0683356546015557
MSFT210115C00212500,-1.0516535760128987
MSFT210115C00215000,-1.032449442978945
MSFT210115C00217500,-1.0097653226142587
MSFT210115C00220000,-1.002144560414525
MSFT210115C00222500,-1.0002230536799692
MSFT210115C00225000,-1.0000120440120877
MSFT210115C00227500,-1.0000003237631705
MSFT210115C00230000,-1.0000000109016836
MSFT210115C00232500,-1.0000000001687932
MSFT210115C00235000,-1.0000000000033336
MSFT210115C00237500,-1.0000000000003364
MSFT210115C00240000,-1.0000000000000007
MSFT210115C00242500,-1.0000000000000002
MSFT210115C00245000,-1.0
MSFT210115C00250000,-1.0
MSFT210115C00255000,-1.0
MSFT210115C00260000,-1.0
MSFT210115C00265000,-1.0
MSFT210115C00270000,-1.0
MSFT210115C00275000,-0.9999999999999983
MSFT210115C00280000,-1.0
MSFT210115C00285000,-1.0
MSFT210115C00290000,-1.0
MSFT210115C00295000,-1.0
MSFT210115C00300000,-1.0
MSFT210115C00305000,-1.0
MSFT210115C00310000,-1.0
MSFT210115C00315000,-1.0
MSFT210115C00320000,-1.0
MSFT210115C00325000,-1.0
MSFT210122C00177500,-0.5490316376869705
MSFT210122C00180000,-0.6526913029355351
MSFT210122C00182500,-0.7222216683167971
MSFT210122C00185000,-0.7041712181056301
MSFT210122C00187500,-0.6719246494397817
MSFT210122C00190000,-0.7529788146672776
MSFT210122C00192500,-0.8051951441814309
MSFT210122C00195000,-0.8085070844336241
MSFT210122C00197500,-0.8428278590984393
MSFT210122C00200000,-0.8980401255841814
